Date,Close/Last,Volume,Open,High,Low
03/14/2024,$49.79,17239400,$50.27,$50.345,$49.60
03/13/2024,$50.11,16669860,$50.03,$50.15,$49.825
03/12/2024,$50.07,17590420,$50.544,$50.55,$49.885
03/11/2024,$50.22,17715070,$49.72,$50.30,$49.58
03/08/2024,$49.50,19316210,$48.87,$49.78,$48.85
03/07/2024,$48.90,21224700,$49.44,$49.48,$48.825
03/06/2024,$49.17,20903550,$48.98,$49.405,$48.965
03/05/2024,$48.95,18101300,$49.04,$49.07,$48.57
03/04/2024,$49.13,25214520,$48.37,$49.465,$48.225
03/01/2024,$48.40,18508070,$48.11,$48.42,$47.66
02/29/2024,$48.37,22962460,$48.19,$48.48,$48.13
02/28/2024,$48.06,14635130,$48.20,$48.48,$48.01
02/27/2024,$48.31,12515380,$48.15,$48.45,$48.02
02/26/2024,$48.40,13018740,$48.85,$48.90,$48.36
02/23/2024,$48.86,13141860,$48.62,$49.14,$48.50
02/22/2024,$48.57,22020350,$48.27,$48.70,$48.154
02/21/2024,$48.48,15999170,$48.45,$48.52,$47.90
02/20/2024,$48.28,26402460,$47.97,$48.47,$47.85
02/16/2024,$48.44,24912310,$48.75,$49.075,$48.39
02/15/2024,$49.06,42766540,$48.255,$49.685,$48.19
02/14/2024,$50.28,31176440,$49.57,$50.34,$49.5518
02/13/2024,$49.64,23633710,$49.62,$49.94,$49.14
02/12/2024,$49.99,19046330,$50.03,$50.20,$49.525
02/09/2024,$50.13,24076860,$49.93,$50.26,$49.63
02/08/2024,$49.95,19598990,$49.90,$49.99,$49.55
02/07/2024,$49.77,16794360,$50.30,$50.35,$49.46
02/06/2024,$49.98,19265800,$50.31,$50.61,$49.785
02/05/2024,$49.51,19601990,$49.94,$50.15,$49.26
02/02/2024,$50.18,20533100,$50.14,$50.38,$49.615
02/01/2024,$50.18,20635670,$50.23,$50.46,$49.82
01/31/2024,$50.18,29311790,$51.85,$51.94,$50.07
01/30/2024,$52.24,14322140,$52.30,$52.415,$51.995
01/29/2024,$52.29,13492410,$51.842,$52.385,$51.83
01/26/2024,$52.14,13160320,$52.42,$52.62,$51.99
01/25/2024,$52.33,18936640,$51.75,$52.56,$51.75
01/24/2024,$51.31,19458520,$52.00,$52.00,$51.205
01/23/2024,$51.76,15044330,$51.39,$51.82,$51.30
01/22/2024,$51.57,20298720,$51.55,$51.78,$51.41
01/19/2024,$51.27,23015260,$50.75,$51.385,$50.73
01/18/2024,$50.75,18487540,$50.30,$50.80,$50.28
01/17/2024,$50.30,17370640,$50.24,$50.43,$49.91
01/16/2024,$50.59,17015930,$50.25,$50.59,$50.07
01/12/2024,$50.34,18785710,$50.50,$50.815,$50.295
01/11/2024,$50.44,16458250,$50.45,$50.50,$50.04
01/10/2024,$50.24,15174190,$50.00,$50.32,$49.82
01/09/2024,$49.91,20489210,$49.96,$50.035,$49.43
01/08/2024,$50.46,18070290,$49.75,$50.50,$49.69
01/05/2024,$50.09,13989290,$50.18,$50.365,$49.865
01/04/2024,$50.08,18134120,$50.44,$50.51,$49.99
01/03/2024,$50.51,20303880,$50.17,$50.68,$49.941
01/02/2024,$50.51,20242940,$50.49,$50.86,$50.25
12/29/2023,$50.52,12492880,$50.45,$50.585,$50.22
12/28/2023,$50.48,8549909,$50.58,$50.63,$50.42
12/27/2023,$50.44,10414330,$50.30,$50.56,$50.28
12/26/2023,$50.28,9721186,$50.11,$50.40,$50.05
12/22/2023,$50.09,12903830,$49.84,$50.39,$49.84
12/21/2023,$49.70,18772280,$49.93,$49.98,$49.38
12/20/2023,$49.80,17812180,$50.12,$50.33,$49.79
12/19/2023,$50.18,17035820,$50.365,$50.46,$49.835
12/18/2023,$50.24,20453080,$49.92,$50.295,$49.395
12/15/2023,$49.87,58860120,$49.485,$49.93,$49.43
12/14/2023,$49.44,28418720,$50.00,$50.0125,$49.17
12/13/2023,$49.69,18689170,$49.24,$49.70,$48.81
12/12/2023,$49.33,18712240,$49.58,$49.59,$49.105
12/11/2023,$49.39,25618940,$48.94,$49.44,$48.85
12/08/2023,$48.38,16039940,$48.28,$48.59,$48.21
12/07/2023,$48.26,20478480,$47.905,$48.36,$47.80
12/06/2023,$47.70,19535530,$48.07,$48.21,$47.65
12/05/2023,$47.93,20985040,$47.745,$47.96,$47.59
12/04/2023,$48.05,17812930,$48.06,$48.18,$47.78
